,order_id,product_id,category_id,category_code,brand,price,user_id,qntProdotto
0,2294359932054536986,1515966223509089906,2.268105426648171e+18,electronics.tablet,samsung,162.01,1.515915625441994e+18,20
1,2294359932054536986,1515966223509089906,2.268105426648171e+18,electronics.tablet,samsung,162.01,1.515915625441994e+18,20
2,2294444024058086220,2273948319057183658,2.2681054301629967e+18,electronics.audio.headphone,huawei,77.52,1.5159156254478794e+18,11
3,2294444024058086220,2273948319057183658,2.2681054301629967e+18,electronics.audio.headphone,huawei,77.52,1.5159156254478794e+18,11
4,2295740594749702229,1515966223509104892,2.268105428166509e+18,electronics.smartphone,apple,1387.01,1.5159156254487665e+18,35
5,2295740594749702229,1515966223509104892,2.268105428166509e+18,electronics.smartphone,apple,1387.01,1.5159156254487665e+18,35
6,2295740594749702229,1515966223509104892,2.268105428166509e+18,electronics.smartphone,apple,1387.01,1.5159156254487665e+18,35
7,2295740594749702229,1515966223509104892,2.268105428166509e+18,electronics.smartphone,apple,1387.01,1.5159156254487665e+18,35
8,2296400480990920715,2273948308663698152,2.3744989140005924e+18,electronics.video.tv,samsung,416.64,1.5159156254508997e+18,12
9,2296628237930857206,1515966223509089660,2.268105410021949e+18,computers.components.cpu,intel,91.41,1.5159156254511316e+18,9
10,2296628237930857206,1515966223509089660,2.268105410021949e+18,computers.components.cpu,intel,91.41,1.5159156254511316e+18,9
11,2296628237930857206,1515966223509089660,2.268105410021949e+18,computers.components.cpu,intel,91.41,1.5159156254511316e+18,9
12,2297016008231092565,1515966223509089780,2.268105407220156e+18,computers.notebook,asus,509.24,1.5159156254431588e+18,63
13,2297174044555871159,2273948222957290212,2.268105409225032e+18,computers.peripherals.monitor,samsung,254.61,1.5159156254426752e+18,2
14,2297174044555871159,2273948222957290212,2.268105409225032e+18,computers.peripherals.monitor,samsung,254.61,1.5159156254426752e+18,2
15,2297252054407578606,2273948303177548033,2.268105407933187e+18,computers.peripherals.printer,epson,164.33,1.5159156254509169e+18,9
16,2297252054407578606,2273948303177548033,2.268105407933187e+18,computers.peripherals.printer,epson,164.33,1.5159156254509169e+18,9
17,2297252054407578606,2273948303177548033,2.268105407933187e+18,computers.peripherals.printer,epson,164.33,1.5159156254509169e+18,9
18,2297947579247231353,1515966223509881617,2.268105409938064e+18,computers.components.memory,kingston,49.98,1.5159156254551053e+18,3
19,2297951447913857849,2273948319057183658,2.2681054301629967e+18,electronics.audio.headphone,huawei,77.52,1.5159156254478794e+18,11
20,2297951447913857849,1515966223509088613,2.2681054301629967e+18,electronics.audio.headphone,apple,203.68,1.5159156254478794e+18,185
21,2297988436574864215,1515966223509259423,2.268105428594328e+18,electronics.clocks,apple,317.11,1.5159156254414835e+18,17
22,2297989017720849297,1515966223509088635,2.3744989140005924e+18,electronics.video.tv,ava,162.01,1.515915625448293e+18,30
23,2297989017720849297,1515966223509088635,2.3744989140005924e+18,electronics.video.tv,ava,162.01,1.515915625448293e+18,30
24,2298001389550305634,1515966223509088613,2.2681054301629967e+18,electronics.audio.headphone,apple,203.68,1.5159156254521933e+18,185
25,2298002125248004522,2273948241915544394,2.268105428166509e+18,electronics.smartphone,apple,346.97,1.5159156254521958e+18,6
26,2298004034688123530,1515966223509262208,2.268105428166509e+18,electronics.smartphone,nokia,83.31,1.5159156254430792e+18,6
27,2298004151876977305,1515966223509089836,2.268105428166509e+18,electronics.smartphone,vivo,208.31,1.5159156254482483e+18,14
28,2298004518056493760,1515966223509106817,2.268105426648171e+18,electronics.tablet,samsung,162.01,1.5159156254450245e+18,14
29,2298004997423497997,2273948312304353950,2.268105428166509e+18,electronics.smartphone,huawei,138.63,1.5159156254410437e+18,32
30,2298007461744869422,2273948308663698149,2.3744989140005924e+18,electronics.video.tv,samsung,381.92,1.5159156254521925e+18,51
31,2298009757589438761,1515966223509127651,2.268105409225032e+18,computers.peripherals.monitor,aoc,109.24,1.5159156254519995e+18,1
32,2298009757589438761,1515966223509260344,2.2681054065490668e+18,computers.peripherals.mouse,logitech,11.55,1.5159156254519995e+18,15
33,2298014487472505625,1515966223509090092,2.2681054065490668e+18,computers.peripherals.mouse,logitech,77.52,1.5159156254456758e+18,27
