,product_id,category_id,category_code,brand,price
0,1515966223509089906,2.268105426648171e+18,electronics.tablet,samsung,162.01
1,2273948319057183658,2.2681054301629967e+18,electronics.audio.headphone,huawei,77.52
2,1515966223509104892,2.268105428166509e+18,electronics.smartphone,apple,1387.01
3,2273948308663698152,2.3744989140005924e+18,electronics.video.tv,samsung,416.64
4,1515966223509089660,2.268105410021949e+18,computers.components.cpu,intel,91.41
5,1515966223509089780,2.268105407220156e+18,computers.notebook,asus,509.24
6,2273948222957290212,2.268105409225032e+18,computers.peripherals.monitor,samsung,254.61
7,2273948303177548033,2.268105407933187e+18,computers.peripherals.printer,epson,164.33
8,1515966223509881617,2.268105409938064e+18,computers.components.memory,kingston,49.98
9,1515966223509088613,2.2681054301629967e+18,electronics.audio.headphone,apple,203.68
10,1515966223509259423,2.268105428594328e+18,electronics.clocks,apple,317.11
11,1515966223509088635,2.3744989140005924e+18,electronics.video.tv,ava,162.01
12,2273948241915544394,2.268105428166509e+18,electronics.smartphone,apple,346.97
13,1515966223509262208,2.268105428166509e+18,electronics.smartphone,nokia,83.31
14,1515966223509089836,2.268105428166509e+18,electronics.smartphone,vivo,208.31
15,1515966223509106817,2.268105426648171e+18,electronics.tablet,samsung,162.01
16,2273948312304353950,2.268105428166509e+18,electronics.smartphone,huawei,138.63
17,2273948308663698149,2.3744989140005924e+18,electronics.video.tv,samsung,381.92
18,1515966223509127651,2.268105409225032e+18,computers.peripherals.monitor,aoc,109.24
19,1515966223509260344,2.2681054065490668e+18,computers.peripherals.mouse,logitech,11.55
20,1515966223509090092,2.2681054065490668e+18,computers.peripherals.mouse,logitech,77.52
21,1515966223509104973,2.2681054282503951e+18,electronics.telephone,panasonic,29.14
22,1515966223509127692,2.2681054301629967e+18,electronics.audio.headphone,sony,9.24
23,1515966223509259935,2.2681054301629967e+18,electronics.audio.headphone,panasonic,3.45
24,1515966223509088650,2.268105407220156e+18,computers.notebook,lenovo,479.14
25,1515966223509105283,2.268105428166509e+18,electronics.smartphone,xiaomi,148.82
26,2273948190023614610,2.2681054065490668e+18,computers.peripherals.mouse,razer,39.1
27,1515966223509089826,2.2681054065490668e+18,computers.peripherals.mouse,delux,6.0
28,1515966223509089896,2.268105426648171e+18,electronics.tablet,prestigio,81.0
29,1515966223509089685,2.268105407220156e+18,computers.notebook,asus,289.33
30,1515966223509283412,2.2681054065490668e+18,computers.peripherals.mouse,steelseries,92.57
31,1515966223509127621,2.268105406456792e+18,computers.notebook,microlab,27.75
32,1515966223509118542,2.2681054280742344e+18,electronics.telephone,nokia,22.89
33,1515966223509089875,2.2681054065490668e+18,computers.peripherals.mouse,trust,7.38
34,2273948316532212462,2.268105428166509e+18,electronics.smartphone,huawei,254.61
35,1515966223509089400,2.2681054301629967e+18,electronics.audio.headphone,samsung,81.0
36,2273948185074336135,2.2681054089649848e+18,computers.components.cooler,ship,6.23
37,1515966223509104159,2.2681054301629967e+18,electronics.audio.headphone,hyperx,43.96
38,1515966223509262301,2.2681054065490668e+18,computers.peripherals.mouse,bloody,25.44
39,1515966223509127863,2.2681054589023685e+18,computers.peripherals.joystick,sony,57.85
40,1515966223509122874,2.268105407933187e+18,computers.peripherals.printer,hp,152.52
41,1515966223509089997,2.268105409048871e+18,computers.network.router,tp-link,23.13
42,1515966223509570831,2.2681054098457887e+18,computers.components.hdd,toshiba,67.8
43,1515966223509127813,2.2681054089649848e+18,computers.components.cooler,hp,2.99
44,1515966223509123209,2.2681054301629967e+18,electronics.audio.headphone,honor,23.13
45,1515966223509123272,2.268105428166509e+18,electronics.smartphone,apple,242.8
46,1515966223509089754,2.268105428166509e+18,electronics.smartphone,apple,208.31
47,1515966223509088541,2.2681054089649848e+18,computers.components.cooler,ship,9.24
48,1515966223509089696,2.268105406691673e+18,computers.peripherals.mouse,x-game,8.08
